Ключ,Значення
START_MSG,"Вітаємо! Це бот для збору відгуків про якість обслуговування. Ваші дані допоможуть покращити сервіс. Анонімно. Без реєстрації. Тільки факти."
MENU_REPORT_BTN,"📝 Надіслати відгук"
MENU_HELP_BTN,"ℹ️ Як це працює"
MENU_PRIVACY_BTN,"🔒 Про конфіденційність"
HELP_MSG,"Як працює система: 1. Натисніть «Надіслати відгук». 2. Вкажіть ID транзакції/послуги, відділення, час взаємодії та канал звернення. 3. За бажанням додайте скріншот або чек. 4. Дані автоматично фіксуються та передаються для аналізу. Бот не зберігає ваші ідентифікатори. Працюємо лише з фактами."
PRIVACY_MSG,"Ваша конфіденційність гарантована: • Бот не зберігає номер телефону, ім'я чи Telegram ID. • У системі фіксується лише технічний хеш для захисту від спаму. • Фото/документи автоматично очищаються від метаданих. • Дані використовуються виключно для аналізу якості сервісу."
STEP_ID1_PROMPT,"🆔 Введіть ID1 (номер транзакції, заявки або послуги)."
STEP_ID2_PROMPT,"🏢 Введіть ID2 (відділення, філія, сервісний центр або департамент). Додайте маркер: №, ID, філія, відділ тощо."
STEP_ID3_PROMPT,"🕒 Вкажіть час або тривалість взаємодії (наприклад, «14:30-15:00», «близько 20 хв», «ранок 12.08»)."
STEP_ID4_PROMPT,"🌐 Вкажіть канал або платформу звернення (наприклад, «онлайн-чат», «каса №3», «мобільний додаток», «гаряча лінія»)."
STEP_MEDIA_PROMPT,"📷 Додайте скріншот, чек або фото підтвердження (опціонально). Надішліть файл або натисніть кнопку нижче."
STEP_CONTACT_PROMPT,"📞 Залиште контакт для зворотного зв'язку (не обов'язково). Натисніть «Пропустити», якщо хочете залишитись повністю анонімним."
BTN_SKIP,"Пропустити"
BTN_ADD_ANOTHER,"✅ Додати ще один відгук"
BTN_FINISH,"🔚 Завершити"
SUCCESS_MSG,"✅ Дякуємо за відгук! Ваші дані прийнято та передано в систему аналізу. Наступна анкета доступна через 15 хвилин."
RATE_LIMIT_MSG,"⏳ Дякуємо за активність. Наступна анкета доступна через {X} хвилин. Це запобігає дублям та зберігає якість даних."
DUPLICATE_MSG,"🔄 Ви вже надсилали дані для цієї комбінації сьогодні. Змініть ID2 або зачекайте."
VALID_SHORT_ID2,"⚠️ Вкажіть коректний ідентифікатор (мінімум 5 символів, з маркером №/ID/філія/відділ тощо)."
VALID_SHORT_ID3,"⚠️ Додайте більше деталей про час або тривалість (мінімум 10 символів)."
VALID_SHORT_ID4,"⚠️ Вкажіть конкретний канал або платформу звернення (мінімум 10 символів)."
